species_old,species,Genus,Family,Order,Jetz_Order,Jetz_Family,Jetz_Genus,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Tail.Length,Mass,ExtinctionType,ExtinctionPeriod,IslandEndemic,Isl_group_map,LAT,LON,Isl_group_map2,LAT2,LON2,Isl_group_map3,LAT3,LON3
Zapornia sp./HawaiiSmall,Zapornia_sp./HawaiiSmall,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,19.59,11.33,2.83,5.16,28.12,82.82,20.35,34.29,46.54,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Zapornia sp./KauaiGreat,Zapornia_sp./KauaiGreat,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,23.08,13.26,3.26,6.11,33.79,97.23,22.46,41.11,74.46,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Zapornia sp./KauaiMedium,Zapornia_sp./KauaiMedium,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,20.98,12.11,3.01,5.62,29.41,89.3,21.59,37.35,58.08,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Zapornia sp./Mangaia,Zapornia_sp./Mangaia,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,19.83,11.46,2.91,5.41,28.02,85.13,22.28,35.18,51.98,EP,EP,Yes,Cook Islands,-20.219417,-158.905882,NA,NA,NA,NA,NA,NA
Zapornia sp./Maui,Zapornia_sp./Maui,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,19.91,11.53,2.89,5.36,27.84,84.53,20.45,34.92,50.16,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Zapornia sp./Nuku Hiva,Zapornia_sp./NukuHiva,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,22.3,12.84,3.16,5.88,32.26,94.45,22.38,39.46,67.35,EP,EP,Yes,Marquesas,-9.555453,-139.438929,NA,NA,NA,NA,NA,NA
Zapornia sp./Rota,Zapornia_sp./Rota,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,18.03,10.36,2.6,4.72,26.32,76.33,18.7,31.77,35,EP,EP,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Zapornia sp./Tinian,Zapornia_sp./Tinian,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,18.06,10.38,2.6,4.73,26.32,76.24,18.74,31.72,35,EP,EP,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Zapornia sp./UaHukaLarge,Zapornia_sp./UaHukaLarge,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,23.33,13.47,3.3,6.17,33.55,98.34,23.03,41.08,77.4,EP,EP,Yes,Marquesas,-9.555453,-139.438929,NA,NA,NA,NA,NA,NA
Zapornia sp./UaHukaSmall,Zapornia_sp./UaHukaSmall,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,19.18,11.02,2.74,5.02,27.96,81.06,19.65,33.69,42.2,EP,EP,Yes,Marquesas,-9.555453,-139.438929,NA,NA,NA,NA,NA,NA
Zapornia ziegleri,Zapornia_ziegleri,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,21.88,12.45,2.65,4.86,55.9,93.16,18.24,43.92,59.22,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Zenaida graysoni,Zenaida_graysoni,Zenaida,Columbidae,Columbiformes,COLUMBIFORMES,Columbidae,Zenaida,22.4,11.6,4.3,4.2,29,147,38.8,134,191,EW,EW,Yes,Revillagigedos Islands,18.657434,-112.824628,NA,NA,NA,NA,NA,NA
Zoothera terrestris,Zoothera_terrestris,Zoothera,Turdidae,Passeriformes,PASSERIFORMES,Turdidae,Zoothera,25,13.88,4.73,5.62,25,101.56,28.27,56,62.17,EH,EH,Yes,Bonin Islands,26.903392,142.180721,NA,NA,NA,NA,NA,NA
Zosteropidae sp./Eua,Zosteropidae_sp./Eua,Zosteropidae sp.,Zosteropidae,Passeriformes,PASSERIFORMES,Zosteropidae,NA,14.72,8.5,3.27,3.64,18.23,62.15,10.29,48.08,11.2,EP,EP,Yes,Niue and Tonga Islands,-20.083178,-172.434056,NA,NA,NA,NA,NA,NA
Zosteropidae sp./Guam,Zosteropidae_sp./Guam,Zosteropidae sp.,Zosteropidae,Passeriformes,PASSERIFORMES,Zosteropidae,NA,14.46,8.37,3.22,3.57,17.9,61,10.14,47.16,11.2,EP,EP,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Zosterops conspicillatus,Zosterops_conspicillatus,Zosterops,Zosteropidae,Passeriformes,PASSERIFORMES,Zosteropidae,Zosterops,11.6,6.82,2.46,3.05,18.69,54.81,10.73,41.38,7.9,EH,EH,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Zosterops semiflavus,Zosterops_semiflavus,Zosterops,Zosteropidae,Passeriformes,PASSERIFORMES,Zosteropidae,Zosterops,14.05,7.93,2.99,3.27,17.61,59.28,10.53,43.07,11.5,EH,EH,Yes,Inner Seychelles,-4.509035,55.617584,NA,NA,NA,NA,NA,NA
Zosterops strenuus,Zosterops_strenuus,Zosterops,Zosteropidae,Passeriformes,PASSERIFORMES,Zosteropidae,Zosterops,22.8,13.5,3.78,4.25,22.8,70.25,13.3,54.25,20.86,EH,EH,Yes,Lord Howe Islands,-31.579806,159.091911,NA,NA,NA,NA,NA,NA
